question,sub_opts,source
"As I read some proposed policies of President Donald Trump, please tell me if you approve or disapprove of each one. a. withdraw support for international climate change agreements","['Approve', 'Disapprove']",GAS
Do you approve or disapprove of the way Viktor Orbán is handling his job as Prime Minister?,"['Approve', 'Disapprove']",GAS
Do you think the people of Iraq will be better off or worse off in the long run than they were now that Saddam Hussein has been removed from power by the US and its allies?,"['Better off', 'Worse off']",GAS
"In general, do you think the popular uprisings of 2011 will lead to more democracy in the Middle East, or not? ","['Yes, will lead to more democracy', 'No, will not lead to more democracy']",GAS
"Overall, how much influence do you think Iran is having on the way things are going in your country? Would you say it is having a great deal of influence, a fair amount, not too much, or no influence at all? (Ask if 'A great deal' or 'A fair amount':) Is this a good thing, a bad thing, or neither good nor bad? ","['Good', 'Bad']",GAS
As a result of the earthquake and tsunami did you or members of your household...Lose time at work?,"['Yes', 'No']",GAS
"Some people say the following things are important to them. On a scale of 0 to 10, how important is each thing to you personally, where 0 means not important at all and 10 means very important….To own your own car?","['Not important at all', 'Very important']",GAS
Please tell me whether you think the following describes U.S. President Donald Trump. Do you think of Donald Trump as ____? b. a strong leader,"['Yes', 'No']",GAS
"Do you support or oppose Ukraine becoming a member of each of the following?...the Eurasian Economic Union  (Belarus, Kazakhstan, Russia, Armenia) ","['Support', 'Oppose']",GAS
"Overall, do you think of China as more of a partner of your country, more of an enemy of your country, or neither?","['More of a partner', 'More of an enemy']",GAS
(Now/Thinking about the Chinese people...) Which of these characteristics do you associate with the Chinese people?...Inventive...Do you associate this with the Chinese people or not?,"['Yes', 'No']",GAS
"Some people say the following things are important to them. On a scale of 0 to 10, how important is each thing to you personally, where 0 means not important at all and 10 means very important….To have money for old age?","['Not important at all', 'Very important']",GAS
Do you favor or oppose the following? The death penalty for people who leave the Muslim religion.,"['Favor', 'Oppose']",GAS
"On a different subject, do you think women should have equal rights with men, or shouldn't they?","['Should', 'Should not']",GAS
Now I'm going to read you some statements about what President Barack Obama might do in the future. Do you think he will take into account interests of countries like your country when making international policy decisions or don't you think so?,"['Will', 'Will not']",GAS
"Now on a different subject, some people feel that democracy is a Western way of doing things that would not work in most Muslim countries, others think that democracy is not just for the West and can work well in most Muslim countries. Which comes closer to your opinion?","['Democracy would not work well in Muslim countries', 'Democracy would work well']",GAS
"In your opinion, are there any countries that are enemies of Russia, or don't you think so?","['Yes', 'No']",GAS
What's more important in your country society that everyone be free to pursue their life's goals without interference from the state or that the state play an active role in society so as to guarantee that nobody is in need?,"[""Freedom to pursue life's goals without interference"", 'State/government guarantees nobody in need']",GAS
"Which of these characteristics do you associate with (the Chinese, the Japanese)?...Hardworking...Do you associate this with (the Chinese, the Japanese) or not?","['Yes', 'No']",GAS
(Now/And thinking about the American people...) Which of these characteristics do you associate with the American people?...Violent...Do you associate this with the American people or not?,"['Yes', 'No']",GAS
As I read some specific policies of [American] President George W. Bush tell me if you approve or disapprove of them...Bush's support for free trade policies,"['Approve', 'Disapprove']",GAS
(Now/Thinking about the Chinese people...) Which of these characteristics do you associate with the Chinese people?...Aggressive...Do you associate this with the Chinese people or not?,"['Yes', 'No']",GAS
"Do you think the U.S. is doing as much as it can to bring about a peace settlement between the Israelis and the Palestinians, or don't you think so?","['Yes', 'No']",GAS
(Now/And thinking about the American people...) Which of these characteristics do you associate with the American people?...Tolerant...Do you associate this with the American people or not?,"['Yes', 'No']",GAS
"Which of these characteristics do you associate with (the Chinese, the Japanese)?...Competitive...Do you associate this with (the Chinese, the Japanese) or not?","['Yes', 'No']",GAS
"And in your opinion, should the government in Kiev recognize the results of the March 16th referendum and allow Crimea to join Russia? ","['Yes, government should recognize the results', 'No, government should not recognize the results']",GAS
"For each of the following statements about the missile strikes, please tell me whether you agree or disagree. They kill too many innocent people.","['Agree', 'Disagree']",GAS
Do you support or oppose allowing companies from other countries to invest in Pemex?,"['Support', 'Oppose']",GAS
Do you approve or disapprove of the way President Nicolas Maduro is handling each of the following areas? a. unemployment,"['Approve', 'Disapprove']",GAS
In your opinion is it a good thing or a bad thing that American ideas and customs are spreading around the world?,"['Good', 'Bad']",GAS
"Overall, how would you describe the relationship between China and Japan? Is it one of cooperation, one of hostility, or neither?","['One of cooperation', 'One of hostility']",GAS
Overall do you think it would be a good thing or a bad thing if China were to become as powerful militarily as the US?,"['Good', 'Bad']",GAS
In the last five years have you traveled to another country other than Canada or Mexico?,"['Yes', 'No']",GAS
Which of these characteristics do you associate with people in Western countries such as the United States and Europe?...Violent...Do you associate this with people in Western countries or not?,"['Yes', 'No']",GAS
"If robots and computers were able to do much of the work currently being done by humans, do you think each of the following is likely or not likely to happen in your country as a result? a. Inequality between rich and poor would be much worse tha","['Yes, likely', 'No, not likely']",GAS
(Now/And thinking about the American people...) Which of these characteristics do you associate with the American people?...Sophisticated...Do you associate this with the American people or not?,"['Yes', 'No']",GAS
Do you think Jordan should maintain its peace treaty with Israel or do you think Jordan should annul its peace treaty with Israel?,"['Maintain treaty', 'Annul treaty']",GAS
"Overall, do you approve or disapprove of Hamas' policies toward the United States? ","['Approve', 'Disapprove']",GAS
Do you approve or disapprove of the way President Dilma Rousseff is handling each of the following areas...Education?,"['Approve', 'Disapprove']",GAS
Please tell me whether you think the following describes U.S. President Donald Trump. Do you think of Donald Trump as ____? a. well-qualified to be president,"['Yes', 'No']",GAS
"Overall, how much influence do you think China is having on the way things are going in our country? Would you say it is having a great deal of influence, a fair amount, not too much, or no influence at all? (Ask if 'A great deal' or 'A fair amount':) Is this a good thing, a bad thing, or neither good nor bad?","['Good', 'Bad']",GAS
"Going forward, who do you think will have more political power in our country - Vladimir Putin or Dmitry Medvedev?","['Vladimir Putin', 'Dmitri Medvedev']",GAS
"Do you think relations between Pakistan and the U.S. have improved in recent years, or don't you think so?","['Yes, have improved', 'No, have not improved']",GAS
As I read some specific policies of President Barack Obama tell me if you approve or disapprove of them...Withdrawing U.S. combat forces from Iraq by December 2011.,"['Approve', 'Disapprove']",GAS
"Now I'm going to read you some statements about President Barack Obama.  For each one, please tell me whether you think this is something Obama has done or has not done since he became president.  Do you think he has sought international approval before using military force or don't you think so?","['Has', 'Has not']",GAS
"Which statement comes closest to your opinion?...A way can be found for Israel to exist so that the rights and needs of Palestinian people are taken care of OR, the rights and needs of the Palestinian people cannot be taken care of as long as Israel exists?","['Can coexist', 'A way cannot be found']",GAS
Do you approve or disapprove of the way President Rodrigo Duterte is handling each of the following areas? f. crime,"['Approve', 'Disapprove']",GAS
(Please tell me if you approve or disapprove of the way President Pena Nieto is handling each of the following areas.)...Fighting organized crime and drug traffickers,"['Approve', 'Disapprove']",GAS
(Now/And thinking about the American people...) Which of these characteristics do you associate with the American people?...Nationalistic...Do you associate this with the American people or not?,"['Yes', 'No']",GAS
Please tell me whether you support or oppose each of the following for our country...Joining the EU (European Union),"['Support', 'Oppose']",GAS
"Thinking about possible war with Iraq, would you favor or oppose the U.S. and other allies taking military action in Iraq to end Saddam Hussein's rule?","['Favor', 'Oppose']",GAS
Do you approve or disapprove of the way President Petro Poroshenko is handling each of the following areas?...corruption,"['Approve', 'Disapprove']",GAS
As I read some specific US policies tell me if you approve or disapprove of them...The US decision to place tariffs on steel imports to the US,"['Approve', 'Disapprove']",GAS
"Now I will read a list of some things that have happened in the world recently. For each one,please tell me if you've heard of it or not...the environmental problem of global warming. Have you heard of it or not?","['Yes, have heard of it', 'No, have not heard of it']",GAS
Which of these characteristics do you associate with the Chinese? Do you associate ____ with the Chinese or not? a. violent,"['Yes, associate', 'No, do not associate']",GAS
Which comes closer to describing your view?...The US should be promoting American business practices around the world OR The US should not be promoting American business practices around the world,"['US should promote American business practices', 'US should not promote American business practices']",GAS
"In your opinion, was it a good thing or a bad thing that Hosni Mubarak resigned?","['Good', 'Bad']",GAS
"Should the United States be the most assertive of the leading nations, or should it be no more or less assertive than other leading nations?","['The most assertive of the leading nations', 'No more or less assertive than other leading nations']",GAS
Now I'm going to read you a list of things the United States might do to help the Mexican government combat drug traffickers in our country.  Would you support or oppose it...providing money and weapons to the Mexican police and military personnel.,"['Support', 'Oppose']",GAS
Please tell me whether you think the following statements apply to the United Nations or not. The United Nations… c. Promotes human rights,"['Yes', 'No']",GAS
Why do you think the US is conducting the war on terrorism? Is...To target Muslim governments and groups it sees as unfriendly...an important reason why the US is doing this or not?,"['Yes', 'No']",GAS
"Do you think the Pakistani government knew Osama bin Laden was hiding in Abbottabad, or don't you think so?","['Yes, knew he was in Abbottabad', 'No, did not know he was in Abbottabad']",GAS
Do you think the Russian government did or did not try to influence the 2016 U.S. presidential election?,"['Did', 'Did not']",GAS
Which of these characteristics do you associate with people in Western countries such as the United States and Europe?...Tolerant...Do you associate this with people in Western countries or not?,"['Yes', 'No']",GAS
"Which of these characteristics do you associate with (the Chinese, the Japanese)?...Sophisticated...Do you associate this with (the Chinese, the Japanese) or not?","['Yes', 'No']",GAS
"Overall, do you think of India as more of a partner of China, more of an enemy of China, or neither?","['More of a partner', 'More of an enemy']",GAS
Which of these characteristics do you associate with Muslims?...Respectful of Women...Do you associate this with Muslims or not?,"['Yes', 'No']",GAS
Which of these characteristics do you associate with people in Western countries such as the United States and Europe?...Arrogant...Do you associate this with people in Western countries or not?,"['Yes', 'No']",GAS
"As I read from a list, tell me whether or not you think this is an important factor in Europe and the U.S. growing further apart?...American multi national corporations are creating resentment in Europe","['Important factor in growing apart', 'Not important factor in growing apart']",GAS
"Turning to China, overall do you think that China's growing economy is a good thing or a bad thing for our country?","['Good', 'Bad']",GAS
"Overall, do you approve or disapprove of the United States re-establishing diplomatic relations with Cuba?","['Approve', 'Disapprove']",GAS
Have you actually stopped buying American products or haven't you actually stopped buying American products?,"['Stopped buying American products', ""Haven't stopped buying American products""]",GAS
"For each of the following statements about the drone attacks, please tell me whether you agree or disagree...they are being done without the approval of the Pakistani government .","['Agree', 'Disagree']",GAS
"Now thinking about the future, do you think Venezuela generally should or should not follow the policies of former President Hugo Chavez?","['Should', 'Should not']",GAS
Do you think the European Union ____? c. promotes democratic values,"['Yes', 'No']",GAS
Do you support or oppose using the Pakistani army to fight extremist groups in Federally Administered Tribal Areas and Khyber Pakhtunkhwa?,"['Support', 'Oppose']",GAS
"In the past 12 months, have you used your cell phone to do any of the following things?...look for or apply for a job ","['Yes', 'No']",GAS
Do you ever use online social networking sites like ?,"['Yes', 'No']",GAS
Do you approve or disapprove of the way President Dilma Rousseff is handling each of the following areas...Health care?,"['Approve', 'Disapprove']",GAS
"In general, would you say the government is run for the benefit of all the people in your country or is it run for the benefit of only a few groups of people?","['Benefit all', 'Benefit few groups']",GAS
Please tell me if you approve or disapprove of the way Prime Minister Malcom Turnbull is handling each of the following areas. c. relations with China,"['Approve', 'Disapprove']",GAS
"I am going to read you a list of things that might be important for getting ahead in life. On a scale of 0 to 10, in your opinion, how important is it...to work hard to get ahead in life, where 0 means not important at all and 10 means very important?","['Not important at all', 'Very important']",GAS
(Which of the following comes closer to your view?)...Our traditional way of life is getting lost. Our traditional way of life remains strong.,"['Our traditional way of life is getting lost', 'Our traditional way of life remains strong']",GAS
"Which is more important to you...That Egypt has a democratic government even if there is some risk of political instability, or that Egypt has a stable government, even if there is a risk it will not be fully democratic?","['That Egypt has a democratic government, even if there is some risk of political instability', 'That Egypt has a stable government, even if there is a risk it will not be fully democratic']",GAS
"In your opinion, is the National Food Security Bill a good thing for India or a bad thing for India?","['A good thing for India', 'A bad thing for India']",GAS
Do you think it's a good thing or a bad thing that people from former Soviet Bloc countries come to live and work in this country?,"['Good', 'Bad']",GAS
Now I'm going to read you a list of things the United States might do to help the Mexican government combat drug traffickers in our country.  Would you support or oppose it...training Mexican police and military personnel.,"['Support', 'Oppose']",GAS
(Now/Thinking about the Chinese people...) Which of these characteristics do you associate with the Chinese people?...Honest...Do you associate this with the Chinese people or not?,"['Yes', 'No']",GAS
"As I read some proposed policies of U.S. President Joe Biden, please tell me if you approve or disapprove of each one. a. The U.S. rejoining the Paris climate agreement","['Approve', 'Disapprove']",GAS
(Please tell me if you approve or disapprove of the way President Pena Nieto is handling each of the following areas.)...Education,"['Approve', 'Disapprove']",GAS
Which comes closer to describing your view?...I am proud of our country's technological and scientific advances OR I am not proud of our country's technological and scientific advances,"['I am proud  of U.S. for its tech - advances', 'I am not proud of U.S. for its tech - advances']",GAS
"And finally, which comes closer to your view?  Consumerism and commercialism are a threat to our culture, OR consumerism and commercialism are not a threat to our culture.","['Consumerism/commercialism a threat to culture', 'Consumerism/commercialism not a threat to culture']",GAS
"Which of these characteristics do you associate with (the Chinese, the Japanese)?...Violent...Do you associate this with (the Chinese, the Japanese) or not?","['Yes', 'No']",GAS
In some ways do you feel that East Germany was overwhelmed and taken over by West Germany in the process of unification?,"['Yes', 'No']",GAS
"And which of these comes closer to your view? I like American ideas about democracy, OR I dislike American ideas about democracy.","['I like American ideas about democracy', 'I dislike American ideas about democracy']",GAS
Do you approve or disapprove of the way President Vladimir Putin is handling each of the following areas?...corruption,"['Approve', 'Disapprove']",GAS
(Now/Thinking about the Chinese people...) Which of these characteristics do you associate with the Chinese people?...Rude...Do you associate this with the Chinese people or not?,"['Yes', 'No']",GAS
"Have you ever learned that someone’s political beliefs were different than you thought they were, based on something they posted on a social networking site, or has this never happened to you?","['Yes', 'No']",GAS
Some people say that it is good to scientifically alter some fruits and vegetables because it increases crop yields to feed more people and is good for the environment.  Others say it is bad to scientifically alter some fruits and vegetables because it could hurt human health and the environment.  Which comes closer to your view?,"['Good because increased crop yields', 'Bad because could hurt health and environment']",GAS
Do you favor capitalist or socialist politics?,"['Socialist politics', 'Capitalist politics']",GAS
Do you think media organizations should be able to publish information about these types of things OR the government should be able to prevent media organizations from publishing information about these types of things in some circumstances. b. economic issues that might destabilize the country's economy,"['Media organizations should be able to publish information about these things', 'Government should be able to prevent media organizations from publishing information about these things']",GAS
"Since unification, do you think East Germany has achieved the same standard of living as those in West Germany?","['Yes', 'No']",GAS
Do you approve or disapprove of the way President Dilma Rousseff is handling each of the following areas...Preparations for the World Cup?,"['Approve', 'Disapprove']",GAS
"As I read from a list, tell me whether or not you think this is an important factor in Europe and the U.S. growing further apart?...Europeans and Americans need each other less for security reasons since the end of the Cold War","['Important factor in growing apart', 'Not important factor in growing apart']",GAS
I'm going to read you a list of things the US might do to combat extremist groups in Pakistan. Please tell me whether you would support or oppose...conducting drone attacks in conjunction with the Pakistani government against leaders of extremist groups.,"['Support', 'Oppose']",GAS
"Do you think the government of Saudi Arabia respects the personal freedoms of its people, or don't you think so?","['Yes, respects personal freedoms', 'No, does not respect personal freedoms']",GAS
Do you think the wealthier nations in the world want to help Africa develop or don't they want to help Africa develop?,"['Want to help', ""Don't want to help""]",GAS
Which of these characteristics do you associate with the Japanese? Do you associate ____ with the Japanese or not? b. arrogrant,"['Yes, associate', 'No, do not associate']",GAS
Do you approve or disapprove of the way Prime Minister Tayyip Erdogan is handling each of the following areas...crime,"['Approve', 'Disapprove']",GAS
Which of the following better explains why the U.S. might use military force against Iraq? Is it more because the U.S. believes that SADDAM HUSSEIN IS A THREAT to stability in the Middle East and world peace or is it more because this is a part of the U.S.'s war against Muslim countries that it sees as unfriendly?,"['Threat to stability', 'Part of war']",GAS
Is having U.S. military personnel based in the Philippines a good thing or a bad thing for our country?,"['Good thing', 'Bad thing']",GAS
"On the subject of Iraq, did your country make the right decision or the wrong decision to not use military force against Iraq?","['Right decision', 'Wrong decision']",GAS
"According to news reports, the American government has been monitoring communications, such as emails and phone calls, in the U.S. and many other countries. In your opinion, is it acceptable or unacceptable for the American government to monitor communications from...Individuals suspected of terrorist activities?","['Acceptable', 'Unacceptable']",GAS
"Do you favor or oppose giving the European Union more authority over the national budgets of member countries, even if it creates more limits on the powers of your country's government?","['Favor', 'Oppose']",GAS
"In your opinion, these days do you think there is a growing sense of Islamic identity among Muslims in our country or don't you think so? Do you think this is a good thing or a bad thing for our country?","['Good', 'Bad']",GAS
"Now thinking about Iran, would you favor or oppose Iran acquiring nuclear weapons?","['Favor', 'Oppose']",GAS
"Do you think President Barack Obama has a better understanding of Pakistan than most western leaders, or don't you think so?","['Yes, has better understanding', 'No, does not have better understanding']",GAS
"As I read some policies of U.S. President Donald Trump, please tell me if you approve or disapprove of each one. g. Moving the U.S. embassy in Israel to Jerusalem","['Approve', 'Disapprove']",GAS
Which of these characteristics do you associate with Americans? Do you associate ____ with Americans or not? a. violent,"['Yes', 'No']",GAS
"Now turning to different topic, if the your country government and other leading countries cannot agree on policies to protect the global environment, which should have the final say","['(Survey Country) government', 'International organization such as the UN']",GAS
Which of these characteristics do you associate with Americans? Do you associate ____ with Americans or not? d. tolerant,"['Yes, associate', 'No, do not associate']",GAS
"Some people talk about politics in terms of  Nationalism and Islam based politics.  On the ten-point left-right scale on this card, with 1 indicating Nationalism and 10 indicating Islam-based politics, where would you place yourself?","['Nationalism', 'Islam-based politics']",GAS
Which of these characteristics do you associate with the Chinese? Do you associate ____ with the Chinese or not? f. honest,"['Yes, associate', 'No, do not associate']",GAS
"Overall, do you think of the U.S. as more of a partner of your country, more of an enemy of your country, or neither?","['More of a partner', 'More of an enemy']",GAS
"Do you think the recent demonstrations in Egypt, Tunisia and other countries in the Middle East will lead to more democracy in the region, or not?","['Yes', 'No']",GAS
Do you think ____ tries to influence the internal affairs of other countries or do you think ____ mostly stays out of the internal affairs of other countries? a. Russia,"['Tries to influence the internal affairs of other countries', 'Mostly stays out of the internal affairs of other countries']",GAS
(Do you approve or disapprove of the way Prime Minister Narendra Modi is handling each of the following areas?)...Corruption,"['Approve', 'Disapprove']",GAS
Do you think that Hamas winning the election will be helpful or harmful to a FAIR settlement of the dispute between Israel and the Palestinians?,"['Helpful', 'Harmful']",GAS
Do you favor or oppose making the following the law in your country...stoning people who commit adultery?,"['Favor', 'Oppose']",GAS
Which of these characteristics do you associate with the Chinese? Do you associate ____ with the Chinese or not? c. hardworking,"['Yes, associate', 'No, do not associate']",GAS
Please tell me whether you think the following describes U.S. President Donald Trump. Do you think of Donald Trump as ____? g. arrogant,"['Yes', 'No']",GAS
Do you think it's a good thing or a bad thing that people from African countries come to live and work in this country?,"['Good', 'Bad']",GAS
Was German unification in 1990 a good thing or a bad thing for Germany?,"['Good thing', 'Bad thing']",GAS
"If a vote were held today on Britain's membership in the European Union, would you vote for Britain to remain in the European Union or for Britain to leave the European Union? ","['Remain in the European Union', 'Leave the European Union']",GAS
Do you approve or disapprove of the way President Petro Poroshenko is handling each of the following areas?...relations with Russia,"['Approve', 'Disapprove']",GAS
"According to news reports, the American government has been monitoring communications, such as emails and phone calls, in the U.S. and many other countries. In your opinion, is it acceptable or unacceptable for the American government to monitor communications from...your nationality citizens?","['Acceptable', 'Unacceptable']",GAS
"Overall, how would you describe the relationship between India and China? Is it one of cooperation, one of hostility, or neither?","['One of cooperation', 'One of hostility']",GAS
(Now/And thinking about the American people...) Which of these characteristics do you associate with the American people?...Generous...Do you associate this with the American people or not?,"['Yes', 'No']",GAS
Do you approve or disapprove of the way...U.S. President Barack Obama...is dealing with U.S.-German relations?,"['Approve', 'Disapprove']",GAS
"Have you heard about missile strikes from drone aircraft that target leaders of extremist groups, or haven't you heard of this?","['Have heard', 'Have not heard']",GAS
Do you think ____ tries to influence the internal affairs of other countries or do you think ____ mostly stays out of the internal affairs of other countries? c. China,"['Tries to influence the internal affairs of other countries', 'Mostly stays out of the internal affairs of other countries']",GAS
"Would you like to see the U.S. remain the only military superpower or would it be better if [Europe | the EU ], China or another country became as powerful as the U.S.?","['U.S. only superpower', 'Better if another country became as powerful as U.S.']",GAS
Some say that most people who don't succeed in life fail because of society's failures. Others say that most people who don't succeed do so because of their own individual failures.  Which comes closer to your point of view?,"[""Society's failures"", 'Individual failures']",GAS
As I read some specific US policies tell me if you approve or disapprove of them...Recent US efforts to bring about peace in the Middle East,"['Approve', 'Disapprove']",GAS
Do you think media organizations should be able to publish information about these types of things OR the government should be able to prevent media organizations from publishing information about these types of things in some circumstances. a. large political protests in our country,"['Media organizations should be able to publish information about these things', 'Government should be able to prevent media organizations from publishing information about these things']",GAS
Do you think the government of ____ respects the personal freedoms of its people or don’t you think so? a. China,"['Yes, respects personal freedoms', 'No, does not respect personal freedoms']",GAS
"Should countries that now do not have nuclear weapons be stopped from developing them, or don't you think so?","['Yes, should be stopped', 'No, should not be stopped']",GAS
"On another topic, had you heard that President Barack Obama once lived in Indonesia as a child, or hadn't you heard this?","['Had heard', 'Had not heard']",GAS
Which of these characteristics do you associate with Americans? Do you associate ____ with Americans or not? c. greedy,"['Yes', 'No']",GAS
Do you approve or disapprove of the way Prime Minister Narendra Modi is handling relations with...the United States?,"['Approve', 'Disapprove']",GAS
"If Iran were to develop nuclear weapons, do you think they would be likely to...attack another Muslim country, or not?","['Yes, likely', 'No, not likely']",GAS
"Right now, the U.S. has the most powerful military capability in the world. In the future, should U.S. policies try to keep it so America is the only military superpower or would it be better if Europe, China or another country became as powerful as the U.S.?","['U.S. only superpower', 'Better if another country became as powerful as U.S.']",GAS
"Thinking about the situation at the Fukushima Daiichi nuclear power plant, do you approve or disapprove of the way the national government has handled this situation?","['Approve', 'Disapprove']",GAS
Which of these characteristics do you associate with the Japanese? Do you associate ____ with the Japanese or not? e. modern,"['Yes, associate', 'No, do not associate']",GAS
Do you approve or disapprove of the way President Nicolas Maduro is handling each of the following areas? e. corruption,"['Approve', 'Disapprove']",GAS
"Thinking about Korea, do you think the two Koreas will be reunified in the near future?","['Yes, they will be reunified', 'No, they will not be reunified']",GAS
"If your country and China got into a serious military conflict, do you think that the United States would or would not use military force to defend our country?","['Would use military force', 'Would not use military force']",GAS
Now I'm going to read you some statements about what President Barack Obama might do in the future. Do you think he will get the United States to take significant measures to control global climate change or don't you think so?,"['Will', 'Will not']",GAS
Have you actually stopped buying French or German products or haven't you actually stopped buying French or German products?,"['Stopped buying French or German products', ""Haven't stopped buying French or German products""]",GAS
"Now I will read a list of some things that have happened in the world recently. For each one,please tell me if you've heard of it or not...reports about abuses in American run prisons at Abu Graib, Guantanamo and elsewhere. Have you heard of it or not?","['Yes, have heard of it', 'No, have not heard of it']",GAS
(Do you approve or disapprove of the way Prime Minister Narendra Modi is handling each of the following areas?)...Access to clean toilets,"['Approve', 'Disapprove']",GAS
"For each of the following statements about the missile strikes from pilotless aircraft called drones, please tell me whether you agree or disagree...they kill too many innocent people.","['Agree', 'Disagree']",GAS
Do you approve or disapprove of the way [American President] George W. Bush is handling International policy?,"['Approve', 'Disapprove']",GAS
"For each of the following statements about the missile strikes, please tell me whether you agree or disagree. They are necessary to defend Pakistan from extremist groups.","['Agree', 'Disagree']",GAS
"For each of the following statements about the missile strikes from pilotless aircraft called drones, please tell me whether you agree or disagree…they are being done without the approval of the Pakistani government.","['Agree', 'Disagree']",GAS
"Now I will read a list of some things that have happened in the world recently. For each one,please tell me if you've heard of it or not...U.S. aid to Pakistan following the October earthquake. Have you heard of it or not?","['Yes, have heard of it', 'No, have not heard of it']",GAS
(Now/And thinking about the American people...) Which of these characteristics do you associate with the American people?...Aggressive...Do you associate this with the American people or not?,"['Yes', 'No']",GAS
Do you think this change in the availability of food in stores is largely because of the way the world has become more connected or mostly for other reasons?,"['Largely more connected', 'Other reasons']",GAS
Do you think the Bolsa Familia program has been a good thing or a bad thing for Brazil?,"['Good', 'Bad']",GAS
Do you think our country should have UN approval before it uses military force to deal with an international threat or do you think that would make it too difficult for our country to deal with international threats?,"['Should have UN approval', 'Would make it too difficult to deal with threats']",GAS
Do you approve or disapprove of the way Prime Minister Narendra Modi is handling relations with...Pakistan?,"['Approve', 'Disapprove']",GAS
Which comes closer to describing your view?...It's good that American ideas and customs are spreading around the world OR It's bad that American ideas and customs are spreading around the world,"[""It's good that American ideas and customs are spreading around the world"", ""It's bad that American ideas and customs are spreading around the world""]",GAS
"Overall, do you approve or disapprove of Mahmoud Abbas' policies toward the United States? ","['Approve', 'Disapprove']",GAS
Do you approve or disapprove of the way President Rodrigo Duterte is handling each of the following areas? g. illegal drugs,"['Approve', 'Disapprove']",GAS
Do you favor or oppose the following? Punishments like whippings and cutting off of hands for crimes like theft and robbery.,"['Favor', 'Oppose']",GAS
"As I read from a list, tell me whether or not you think this is an important factor in Europe and the U.S. growing further apart?...Europeans and Americans have increasingly different social and cultural values these days","['Important factor in growing apart', 'Not important factor in growing apart']",GAS
"When it comes to important issues facing the public, people may disagree over policies, but do you think most people agree or disagree on basic facts?","['Agree on the basic facts', 'Disagree on the basic facts']",GAS
Some countries have decided to ban the wearing of head scarves by Muslim women in public places including schools. Do you think this is a good idea or a bad idea?,"['Good idea', 'Bad idea']",GAS
Do you think it's good or bad for U.S. colleges and universities to accept international students?,"['Good', 'Bad']",GAS
"On a scale of 0 to 10 how satisfied are you with each of the following items, where 0 means you are very dissatisfied and 10 means you are very satisfied?...The quality of schools where you live","['Very dissatisfied', 'Very satisfied']",GAS
(Now/And thinking about the American people...) Which of these characteristics do you associate with the American people?...Rude...Do you associate this with the American people or not?,"['Yes', 'No']",GAS
"On the subject of Iraq, did your country make the right decision or the wrong decision to allow the US and its allies to use bases for military action in Iraq?","['Right decision', 'Wrong decision']",GAS
"Now I'm going to read you some statements about President Barack Obama.  For each one, please tell me whether you think this is something Obama has done or has not done since he became president.  Do you think he has been fair in dealing with the Israelis and the Palestinians or don't you think so?","['Has', 'Has not']",GAS
(Now/Thinking about the Chinese people...) Which of these characteristics do you associate with the Chinese people?...Violent...Do you associate this with the Chinese people or not?,"['Yes', 'No']",GAS
Do you think it would be a good thing or a bad thing for Turkey if Saddam Hussein were removed from power?,"['Good', 'Bad']",GAS
Do you approve or disapprove of the way Prime Minister Narendra Modi is handling each of the following areas? h. the situation in Kashmir,"['Approve', 'Disapprove']",GAS
Which of these characteristics do you associate with Americans? Do you associate rude with Americans or not?,"['Yes', 'No']",GAS
"Thinking about immigration, would you support or oppose your country ____? c. encouraging highly skilled people to immigrate and work in your country","['Support', 'Oppose']",GAS
"If you had to choose, which would you rather have?...Higher taxes in our country so the government can provide more services, lower taxes, even if it means the government will provide fewer services","['Higher taxes, more services', 'Lower taxes, fewer services']",GAS
I'm going to read you a list of things the US might do to combat extremist groups in Pakistan. Please tell me whether you would support or oppose...conducting missile strikes against leaders of extremist groups.,"['Support', 'Oppose']",GAS
Do you approve or disapprove of tougher international economic sanctions on Iran to try to stop it from developing nuclear weapons?,"['Approve', 'Disapprove']",GAS
"In your opinion, has the National Rural Employment Guarantee Act (NREGA) been a good thing for India or a bad thing for India?","['A good thing for India', 'A bad thing for India']",GAS
"Which of these characteristics do you associate with (the Chinese, the Japanese)?...Inventive...Do you associate this with (the Chinese, the Japanese) or not?","['Yes', 'No']",GAS
"Thinking about our country, do you think it is possible that your country could elect a racial or ethnic minority candidate as (president/prime minister) in the near future, or don't you think this is possible in the near future?","['Possible', 'Not possible']",GAS
"Thinking about our country's relations with Russia, which is more important -- being tough with Russia on the issue of Ukraine OR having a strong economic relationship with Russia?","['Be tough with Russia', 'Strong economic relationship with Russia']",GAS
"Now I will read a list of some things that have happened in the world recently. For each one,please tell me if you've heard of it or not...the dispute about Iran's nuclear program. Have you heard of it or not?","['Yes, have heard of it', 'No, have not heard of it']",GAS
Would you like U.S. President Barack Obama to be reelected or not?,"['Yes', 'No']",GAS
Please tell me whether you think the following describes U.S. president Joe Biden. Do you think of Joe Biden as ____? c. Dangerous,"['Yes', 'No']",GAS
"Now I will read a list of some things that have happened in the world recently. For each one,please tell me if you've heard of it or not...the Hamas Party's victory in the Palestinian elections. Have you heard of it or not?","['Yes, have heard of it', 'No, have not heard of it']",GAS
Which of these characteristics do you associate with the Chinese? Do you associate ____ with the Chinese or not? e. modern,"['Yes, associate', 'No, do not associate']",GAS
Do you approve or disapprove of the one-child policy?,"['Approve', 'Disapprove']",GAS
