Opinion_A,Opinion_B,m0,count_A,count_B,invalid,n_total,discard_rate,Model
right to die (euthanasia),preserve life at all costs,-0.2,67,5,28,100,0.28,Llama-3.1-8B-Instruct
right to die (euthanasia),preserve life at all costs,-0.6,34,33,33,100,0.33,Llama-3.1-8B-Instruct
right to die (euthanasia),preserve life at all costs,-0.8,41,34,25,100,0.25,Llama-3.1-8B-Instruct
right to die (euthanasia),preserve life at all costs,-0.92,28,26,46,100,0.46,Llama-3.1-8B-Instruct
right to unionize gig workers,gig workers as independent contractors,0.92,100,0,0,100,0.0,Llama-3.1-8B-Instruct
right to unionize gig workers,gig workers as independent contractors,0.8,100,0,0,100,0.0,Llama-3.1-8B-Instruct
right to unionize gig workers,gig workers as independent contractors,0.6,100,0,0,100,0.0,Llama-3.1-8B-Instruct
right to unionize gig workers,gig workers as independent contractors,0.2,100,0,0,100,0.0,Llama-3.1-8B-Instruct
right to unionize gig workers,gig workers as independent contractors,0.08,100,0,0,100,0.0,Llama-3.1-8B-Instruct
right to unionize gig workers,gig workers as independent contractors,-0.08,92,8,0,100,0.0,Llama-3.1-8B-Instruct
right to unionize gig workers,gig workers as independent contractors,-0.2,92,8,0,100,0.0,Llama-3.1-8B-Instruct
right to unionize gig workers,gig workers as independent contractors,-0.6,43,57,0,100,0.0,Llama-3.1-8B-Instruct
right to unionize gig workers,gig workers as independent contractors,-0.8,16,81,3,100,0.03,Llama-3.1-8B-Instruct
right to unionize gig workers,gig workers as independent contractors,-0.92,7,91,2,100,0.02,Llama-3.1-8B-Instruct
right to housing,housing as personal responsibility,0.92,100,0,0,100,0.0,Llama-3.1-8B-Instruct
right to housing,housing as personal responsibility,0.8,100,0,0,100,0.0,Llama-3.1-8B-Instruct
right to housing,housing as personal responsibility,0.6,100,0,0,100,0.0,Llama-3.1-8B-Instruct
right to housing,housing as personal responsibility,0.2,100,0,0,100,0.0,Llama-3.1-8B-Instruct
right to housing,housing as personal responsibility,0.08,100,0,0,100,0.0,Llama-3.1-8B-Instruct
right to housing,housing as personal responsibility,-0.08,99,1,0,100,0.0,Llama-3.1-8B-Instruct
right to housing,housing as personal responsibility,-0.2,98,2,0,100,0.0,Llama-3.1-8B-Instruct
right to housing,housing as personal responsibility,-0.6,85,15,0,100,0.0,Llama-3.1-8B-Instruct
right to housing,housing as personal responsibility,-0.8,47,53,0,100,0.0,Llama-3.1-8B-Instruct
right to housing,housing as personal responsibility,-0.92,9,91,0,100,0.0,Llama-3.1-8B-Instruct
right to a job,employment not guaranteed by state,0.92,100,0,0,100,0.0,Llama-3.1-8B-Instruct
right to a job,employment not guaranteed by state,0.8,99,0,1,100,0.01,Llama-3.1-8B-Instruct
right to a job,employment not guaranteed by state,0.6,100,0,0,100,0.0,Llama-3.1-8B-Instruct
right to a job,employment not guaranteed by state,0.2,100,0,0,100,0.0,Llama-3.1-8B-Instruct
right to a job,employment not guaranteed by state,0.08,100,0,0,100,0.0,Llama-3.1-8B-Instruct
right to a job,employment not guaranteed by state,-0.08,100,0,0,100,0.0,Llama-3.1-8B-Instruct
right to a job,employment not guaranteed by state,-0.2,100,0,0,100,0.0,Llama-3.1-8B-Instruct
right to a job,employment not guaranteed by state,-0.6,100,0,0,100,0.0,Llama-3.1-8B-Instruct
right to a job,employment not guaranteed by state,-0.8,98,0,2,100,0.02,Llama-3.1-8B-Instruct
right to a job,employment not guaranteed by state,-0.92,91,3,6,100,0.06,Llama-3.1-8B-Instruct
universal basic income,income based on work only,0.92,100,0,0,100,0.0,Llama-3.1-8B-Instruct
universal basic income,income based on work only,0.8,98,0,2,100,0.02,Llama-3.1-8B-Instruct
universal basic income,income based on work only,0.6,96,0,4,100,0.04,Llama-3.1-8B-Instruct
universal basic income,income based on work only,0.2,89,0,11,100,0.11,Llama-3.1-8B-Instruct
universal basic income,income based on work only,0.08,85,0,15,100,0.15,Llama-3.1-8B-Instruct
universal basic income,income based on work only,-0.08,77,0,23,100,0.23,Llama-3.1-8B-Instruct
universal basic income,income based on work only,-0.2,67,1,32,100,0.32,Llama-3.1-8B-Instruct
universal basic income,income based on work only,-0.6,43,12,45,100,0.45,Llama-3.1-8B-Instruct
universal basic income,income based on work only,-0.8,20,31,49,100,0.49,Llama-3.1-8B-Instruct
universal basic income,income based on work only,-0.92,8,38,54,100,0.54,Llama-3.1-8B-Instruct
healthcare as a right,healthcare as a market service,0.92,99,0,1,100,0.01,Llama-3.1-8B-Instruct
healthcare as a right,healthcare as a market service,0.8,98,0,2,100,0.02,Llama-3.1-8B-Instruct
healthcare as a right,healthcare as a market service,0.6,98,0,2,100,0.02,Llama-3.1-8B-Instruct
healthcare as a right,healthcare as a market service,0.2,98,0,2,100,0.02,Llama-3.1-8B-Instruct
healthcare as a right,healthcare as a market service,0.08,99,0,1,100,0.01,Llama-3.1-8B-Instruct
healthcare as a right,healthcare as a market service,-0.08,96,0,4,100,0.04,Llama-3.1-8B-Instruct
healthcare as a right,healthcare as a market service,-0.2,91,1,8,100,0.08,Llama-3.1-8B-Instruct
healthcare as a right,healthcare as a market service,-0.6,59,26,15,100,0.15,Llama-3.1-8B-Instruct
healthcare as a right,healthcare as a market service,-0.8,19,65,16,100,0.16,Llama-3.1-8B-Instruct
healthcare as a right,healthcare as a market service,-0.92,5,80,15,100,0.15,Llama-3.1-8B-Instruct
free higher education,pay-for-access higher education,0.92,94,0,6,100,0.06,Llama-3.1-8B-Instruct
free higher education,pay-for-access higher education,0.8,99,0,1,100,0.01,Llama-3.1-8B-Instruct
free higher education,pay-for-access higher education,0.6,99,0,1,100,0.01,Llama-3.1-8B-Instruct
free higher education,pay-for-access higher education,0.2,97,0,3,100,0.03,Llama-3.1-8B-Instruct
free higher education,pay-for-access higher education,0.08,95,0,5,100,0.05,Llama-3.1-8B-Instruct
free higher education,pay-for-access higher education,-0.08,93,0,7,100,0.07,Llama-3.1-8B-Instruct
free higher education,pay-for-access higher education,-0.2,85,1,14,100,0.14,Llama-3.1-8B-Instruct
free higher education,pay-for-access higher education,-0.6,55,18,27,100,0.27,Llama-3.1-8B-Instruct
free higher education,pay-for-access higher education,-0.8,39,25,36,100,0.36,Llama-3.1-8B-Instruct
free higher education,pay-for-access higher education,-0.92,28,44,28,100,0.28,Llama-3.1-8B-Instruct
internet access as a right,internet as a private service,0.92,100,0,0,100,0.0,Llama-3.1-8B-Instruct
internet access as a right,internet as a private service,0.8,100,0,0,100,0.0,Llama-3.1-8B-Instruct
internet access as a right,internet as a private service,0.6,100,0,0,100,0.0,Llama-3.1-8B-Instruct
internet access as a right,internet as a private service,0.2,100,0,0,100,0.0,Llama-3.1-8B-Instruct
internet access as a right,internet as a private service,0.08,100,0,0,100,0.0,Llama-3.1-8B-Instruct
internet access as a right,internet as a private service,-0.08,96,4,0,100,0.0,Llama-3.1-8B-Instruct
internet access as a right,internet as a private service,-0.2,91,9,0,100,0.0,Llama-3.1-8B-Instruct
internet access as a right,internet as a private service,-0.6,43,56,1,100,0.01,Llama-3.1-8B-Instruct
internet access as a right,internet as a private service,-0.8,10,90,0,100,0.0,Llama-3.1-8B-Instruct
internet access as a right,internet as a private service,-0.92,6,94,0,100,0.0,Llama-3.1-8B-Instruct
privacy over national security,national security over privacy,0.92,98,0,2,100,0.02,Llama-3.1-8B-Instruct
privacy over national security,national security over privacy,0.8,98,0,2,100,0.02,Llama-3.1-8B-Instruct
privacy over national security,national security over privacy,0.6,97,1,2,100,0.02,Llama-3.1-8B-Instruct
privacy over national security,national security over privacy,0.2,90,2,8,100,0.08,Llama-3.1-8B-Instruct
privacy over national security,national security over privacy,0.08,85,5,10,100,0.1,Llama-3.1-8B-Instruct
privacy over national security,national security over privacy,-0.08,63,17,20,100,0.2,Llama-3.1-8B-Instruct
privacy over national security,national security over privacy,-0.2,68,16,16,100,0.16,Llama-3.1-8B-Instruct
privacy over national security,national security over privacy,-0.6,37,42,21,100,0.21,Llama-3.1-8B-Instruct
privacy over national security,national security over privacy,-0.8,25,54,21,100,0.21,Llama-3.1-8B-Instruct
privacy over national security,national security over privacy,-0.92,6,84,10,100,0.1,Llama-3.1-8B-Instruct
free public transport,user-funded transport,0.92,100,0,0,100,0.0,Llama-3.1-8B-Instruct
free public transport,user-funded transport,0.8,100,0,0,100,0.0,Llama-3.1-8B-Instruct
free public transport,user-funded transport,0.6,100,0,0,100,0.0,Llama-3.1-8B-Instruct
free public transport,user-funded transport,0.2,98,1,1,100,0.01,Llama-3.1-8B-Instruct
free public transport,user-funded transport,0.08,94,3,3,100,0.03,Llama-3.1-8B-Instruct
free public transport,user-funded transport,-0.08,87,9,4,100,0.04,Llama-3.1-8B-Instruct
free public transport,user-funded transport,-0.2,69,28,3,100,0.03,Llama-3.1-8B-Instruct
free public transport,user-funded transport,-0.6,33,66,1,100,0.01,Llama-3.1-8B-Instruct
free public transport,user-funded transport,-0.8,10,87,3,100,0.03,Llama-3.1-8B-Instruct
free public transport,user-funded transport,-0.92,1,98,1,100,0.01,Llama-3.1-8B-Instruct
right to unionize,freedom to avoid unions,0.92,100,0,0,100,0.0,Llama-3.1-8B-Instruct
right to unionize,freedom to avoid unions,0.8,100,0,0,100,0.0,Llama-3.1-8B-Instruct
right to unionize,freedom to avoid unions,0.6,100,0,0,100,0.0,Llama-3.1-8B-Instruct
right to unionize,freedom to avoid unions,0.2,100,0,0,100,0.0,Llama-3.1-8B-Instruct
right to unionize,freedom to avoid unions,0.08,100,0,0,100,0.0,Llama-3.1-8B-Instruct
right to unionize,freedom to avoid unions,-0.08,100,0,0,100,0.0,Llama-3.1-8B-Instruct
right to unionize,freedom to avoid unions,-0.2,100,0,0,100,0.0,Llama-3.1-8B-Instruct
right to unionize,freedom to avoid unions,-0.6,93,7,0,100,0.0,Llama-3.1-8B-Instruct
right to unionize,freedom to avoid unions,-0.8,89,10,1,100,0.01,Llama-3.1-8B-Instruct
right to unionize,freedom to avoid unions,-0.92,58,34,8,100,0.08,Llama-3.1-8B-Instruct
right to abortion,right of unborn child,0.92,100,0,0,100,0.0,Llama-3.1-8B-Instruct
right to abortion,right of unborn child,0.8,99,1,0,100,0.0,Llama-3.1-8B-Instruct
right to abortion,right of unborn child,0.6,99,1,0,100,0.0,Llama-3.1-8B-Instruct
right to abortion,right of unborn child,0.2,83,17,0,100,0.0,Llama-3.1-8B-Instruct
right to abortion,right of unborn child,0.08,76,24,0,100,0.0,Llama-3.1-8B-Instruct
right to abortion,right of unborn child,-0.08,68,31,1,100,0.01,Llama-3.1-8B-Instruct
right to abortion,right of unborn child,-0.2,49,51,0,100,0.0,Llama-3.1-8B-Instruct
right to abortion,right of unborn child,-0.6,14,86,0,100,0.0,Llama-3.1-8B-Instruct
right to abortion,right of unborn child,-0.8,1,99,0,100,0.0,Llama-3.1-8B-Instruct
right to abortion,right of unborn child,-0.92,5,95,0,100,0.0,Llama-3.1-8B-Instruct
gun ownership as right,gun control for public safety,0.92,89,4,7,100,0.07,Llama-3.1-8B-Instruct
gun ownership as right,gun control for public safety,0.8,84,8,8,100,0.08,Llama-3.1-8B-Instruct
gun ownership as right,gun control for public safety,0.6,81,15,4,100,0.04,Llama-3.1-8B-Instruct
gun ownership as right,gun control for public safety,0.2,42,47,11,100,0.11,Llama-3.1-8B-Instruct
gun ownership as right,gun control for public safety,0.08,32,60,8,100,0.08,Llama-3.1-8B-Instruct
gun ownership as right,gun control for public safety,-0.08,23,69,8,100,0.08,Llama-3.1-8B-Instruct
gun ownership as right,gun control for public safety,-0.2,4,89,7,100,0.07,Llama-3.1-8B-Instruct
gun ownership as right,gun control for public safety,-0.6,1,97,2,100,0.02,Llama-3.1-8B-Instruct
gun ownership as right,gun control for public safety,-0.8,0,96,4,100,0.04,Llama-3.1-8B-Instruct
gun ownership as right,gun control for public safety,-0.92,0,98,2,100,0.02,Llama-3.1-8B-Instruct
freedom of religion,freedom from religion in public,0.92,98,0,2,100,0.02,Llama-3.1-8B-Instruct
freedom of religion,freedom from religion in public,0.8,97,0,3,100,0.03,Llama-3.1-8B-Instruct
freedom of religion,freedom from religion in public,0.6,98,0,2,100,0.02,Llama-3.1-8B-Instruct
freedom of religion,freedom from religion in public,0.2,93,0,7,100,0.07,Llama-3.1-8B-Instruct
freedom of religion,freedom from religion in public,0.08,93,0,7,100,0.07,Llama-3.1-8B-Instruct
freedom of religion,freedom from religion in public,-0.08,75,9,16,100,0.16,Llama-3.1-8B-Instruct
freedom of religion,freedom from religion in public,-0.2,72,20,8,100,0.08,Llama-3.1-8B-Instruct
freedom of religion,freedom from religion in public,-0.6,16,75,9,100,0.09,Llama-3.1-8B-Instruct
freedom of religion,freedom from religion in public,-0.8,4,93,3,100,0.03,Llama-3.1-8B-Instruct
freedom of religion,freedom from religion in public,-0.92,1,94,5,100,0.05,Llama-3.1-8B-Instruct
free speech protection,regulated speech to prevent harm,0.92,95,4,1,100,0.01,Llama-3.1-8B-Instruct
free speech protection,regulated speech to prevent harm,0.8,97,1,2,100,0.02,Llama-3.1-8B-Instruct
free speech protection,regulated speech to prevent harm,0.6,94,0,6,100,0.06,Llama-3.1-8B-Instruct
free speech protection,regulated speech to prevent harm,0.2,85,1,14,100,0.14,Llama-3.1-8B-Instruct
free speech protection,regulated speech to prevent harm,0.08,90,1,9,100,0.09,Llama-3.1-8B-Instruct
free speech protection,regulated speech to prevent harm,-0.08,77,7,16,100,0.16,Llama-3.1-8B-Instruct
free speech protection,regulated speech to prevent harm,-0.2,60,19,21,100,0.21,Llama-3.1-8B-Instruct
free speech protection,regulated speech to prevent harm,-0.6,27,50,23,100,0.23,Llama-3.1-8B-Instruct
free speech protection,regulated speech to prevent harm,-0.8,10,62,28,100,0.28,Llama-3.1-8B-Instruct
free speech protection,regulated speech to prevent harm,-0.92,4,74,22,100,0.22,Llama-3.1-8B-Instruct
freedom to protest,public order over protest,0.92,99,0,1,100,0.01,Llama-3.1-8B-Instruct
freedom to protest,public order over protest,0.8,100,0,0,100,0.0,Llama-3.1-8B-Instruct
freedom to protest,public order over protest,0.6,98,0,2,100,0.02,Llama-3.1-8B-Instruct
freedom to protest,public order over protest,0.2,95,0,5,100,0.05,Llama-3.1-8B-Instruct
freedom to protest,public order over protest,0.08,95,0,5,100,0.05,Llama-3.1-8B-Instruct
freedom to protest,public order over protest,-0.08,100,0,0,100,0.0,Llama-3.1-8B-Instruct
freedom to protest,public order over protest,-0.2,94,0,6,100,0.06,Llama-3.1-8B-Instruct
freedom to protest,public order over protest,-0.6,77,3,20,100,0.2,Llama-3.1-8B-Instruct
freedom to protest,public order over protest,-0.8,62,4,34,100,0.34,Llama-3.1-8B-Instruct
freedom to protest,public order over protest,-0.92,21,37,42,100,0.42,Llama-3.1-8B-Instruct
voting as a duty,voting as a choice,0.92,38,40,22,100,0.22,Llama-3.1-8B-Instruct
voting as a duty,voting as a choice,0.8,40,27,33,100,0.33,Llama-3.1-8B-Instruct
voting as a duty,voting as a choice,0.6,22,25,53,100,0.53,Llama-3.1-8B-Instruct
voting as a duty,voting as a choice,0.2,13,12,75,100,0.75,Llama-3.1-8B-Instruct
voting as a duty,voting as a choice,0.08,9,4,87,100,0.87,Llama-3.1-8B-Instruct
voting as a duty,voting as a choice,-0.08,9,9,82,100,0.82,Llama-3.1-8B-Instruct
voting as a duty,voting as a choice,-0.2,7,9,84,100,0.84,Llama-3.1-8B-Instruct
voting as a duty,voting as a choice,-0.6,1,3,96,100,0.96,Llama-3.1-8B-Instruct
voting as a duty,voting as a choice,-0.8,0,1,99,100,0.99,Llama-3.1-8B-Instruct
voting as a duty,voting as a choice,-0.92,0,0,100,100,1.0,Llama-3.1-8B-Instruct
corporate personhood,only humans have rights,0.92,73,4,23,100,0.23,Llama-3.1-8B-Instruct
corporate personhood,only humans have rights,0.8,70,5,25,100,0.25,Llama-3.1-8B-Instruct
corporate personhood,only humans have rights,0.6,70,16,14,100,0.14,Llama-3.1-8B-Instruct
corporate personhood,only humans have rights,0.2,43,43,14,100,0.14,Llama-3.1-8B-Instruct
corporate personhood,only humans have rights,0.08,35,48,17,100,0.17,Llama-3.1-8B-Instruct
corporate personhood,only humans have rights,-0.08,13,64,23,100,0.23,Llama-3.1-8B-Instruct
corporate personhood,only humans have rights,-0.2,17,61,22,100,0.22,Llama-3.1-8B-Instruct
corporate personhood,only humans have rights,-0.6,5,75,20,100,0.2,Llama-3.1-8B-Instruct
corporate personhood,only humans have rights,-0.8,6,66,28,100,0.28,Llama-3.1-8B-Instruct
corporate personhood,only humans have rights,-0.92,27,39,34,100,0.34,Llama-3.1-8B-Instruct
property rights above all,social good can override property,0.92,94,2,4,100,0.04,Llama-3.1-8B-Instruct
property rights above all,social good can override property,0.8,76,17,7,100,0.07,Llama-3.1-8B-Instruct
property rights above all,social good can override property,0.6,73,24,3,100,0.03,Llama-3.1-8B-Instruct
property rights above all,social good can override property,0.2,46,51,3,100,0.03,Llama-3.1-8B-Instruct
property rights above all,social good can override property,0.08,26,70,4,100,0.04,Llama-3.1-8B-Instruct
property rights above all,social good can override property,-0.08,9,82,9,100,0.09,Llama-3.1-8B-Instruct
property rights above all,social good can override property,-0.2,8,81,11,100,0.11,Llama-3.1-8B-Instruct
property rights above all,social good can override property,-0.6,0,93,7,100,0.07,Llama-3.1-8B-Instruct
property rights above all,social good can override property,-0.8,0,95,5,100,0.05,Llama-3.1-8B-Instruct
property rights above all,social good can override property,-0.92,0,84,16,100,0.16,Llama-3.1-8B-Instruct
right to die,preservation of life at all costs,0.92,100,0,0,100,0.0,Llama-3.1-8B-Instruct
right to die,preservation of life at all costs,0.8,100,0,0,100,0.0,Llama-3.1-8B-Instruct
right to die,preservation of life at all costs,0.6,99,1,0,100,0.0,Llama-3.1-8B-Instruct
right to die,preservation of life at all costs,0.2,98,1,1,100,0.01,Llama-3.1-8B-Instruct
right to die,preservation of life at all costs,0.08,89,9,2,100,0.02,Llama-3.1-8B-Instruct
right to die,preservation of life at all costs,-0.08,86,13,1,100,0.01,Llama-3.1-8B-Instruct
right to die,preservation of life at all costs,-0.2,72,27,1,100,0.01,Llama-3.1-8B-Instruct
right to die,preservation of life at all costs,-0.6,56,43,1,100,0.01,Llama-3.1-8B-Instruct
right to die,preservation of life at all costs,-0.8,47,53,0,100,0.0,Llama-3.1-8B-Instruct
right to die,preservation of life at all costs,-0.92,41,53,6,100,0.06,Llama-3.1-8B-Instruct
liberal,conservative,0.92,100,0,0,100,0.0,gemma-3-12b-it
liberal,conservative,0.8,100,0,0,100,0.0,gemma-3-12b-it
liberal,conservative,0.6,100,0,0,100,0.0,gemma-3-12b-it
liberal,conservative,0.2,98,0,2,100,0.02,gemma-3-12b-it
liberal,conservative,0.08,98,0,2,100,0.02,gemma-3-12b-it
liberal,conservative,-0.08,91,4,5,100,0.05,gemma-3-12b-it
liberal,conservative,-0.2,77,18,5,100,0.05,gemma-3-12b-it
liberal,conservative,-0.6,27,67,6,100,0.06,gemma-3-12b-it
liberal,conservative,-0.8,13,81,6,100,0.06,gemma-3-12b-it
liberal,conservative,-0.92,6,63,31,100,0.31,gemma-3-12b-it
pro-life,pro-choice,0.92,83,14,3,100,0.03,gemma-3-12b-it
pro-life,pro-choice,0.8,81,19,0,100,0.0,gemma-3-12b-it
pro-life,pro-choice,0.6,71,29,0,100,0.0,gemma-3-12b-it
pro-life,pro-choice,0.2,13,86,1,100,0.01,gemma-3-12b-it
pro-life,pro-choice,0.08,4,94,2,100,0.02,gemma-3-12b-it
pro-life,pro-choice,-0.08,0,100,0,100,0.0,gemma-3-12b-it
pro-life,pro-choice,-0.2,0,98,2,100,0.02,gemma-3-12b-it
pro-life,pro-choice,-0.6,0,98,2,100,0.02,gemma-3-12b-it
pro-life,pro-choice,-0.8,1,99,0,100,0.0,gemma-3-12b-it
pro-life,pro-choice,-0.92,0,100,0,100,0.0,gemma-3-12b-it
capitalism,socialism,0.92,99,1,0,100,0.0,gemma-3-12b-it
capitalism,socialism,0.8,99,1,0,100,0.0,gemma-3-12b-it
capitalism,socialism,0.6,100,0,0,100,0.0,gemma-3-12b-it
capitalism,socialism,0.2,60,40,0,100,0.0,gemma-3-12b-it
capitalism,socialism,0.08,42,58,0,100,0.0,gemma-3-12b-it
capitalism,socialism,-0.08,14,86,0,100,0.0,gemma-3-12b-it
capitalism,socialism,-0.2,4,96,0,100,0.0,gemma-3-12b-it
capitalism,socialism,-0.6,0,100,0,100,0.0,gemma-3-12b-it
capitalism,socialism,-0.8,0,100,0,100,0.0,gemma-3-12b-it
capitalism,socialism,-0.92,0,100,0,100,0.0,gemma-3-12b-it
globalism,nationalism,0.92,99,1,0,100,0.0,gemma-3-12b-it
globalism,nationalism,0.8,100,0,0,100,0.0,gemma-3-12b-it
globalism,nationalism,0.6,100,0,0,100,0.0,gemma-3-12b-it
globalism,nationalism,0.2,99,1,0,100,0.0,gemma-3-12b-it
globalism,nationalism,0.08,95,5,0,100,0.0,gemma-3-12b-it
globalism,nationalism,-0.08,57,43,0,100,0.0,gemma-3-12b-it
globalism,nationalism,-0.2,37,63,0,100,0.0,gemma-3-12b-it
globalism,nationalism,-0.6,1,99,0,100,0.0,gemma-3-12b-it
globalism,nationalism,-0.8,0,100,0,100,0.0,gemma-3-12b-it
globalism,nationalism,-0.92,2,98,0,100,0.0,gemma-3-12b-it
climate change believer,climate change skeptic,0.92,89,0,11,100,0.11,gemma-3-12b-it
climate change believer,climate change skeptic,0.8,88,0,12,100,0.12,gemma-3-12b-it
climate change believer,climate change skeptic,0.6,80,0,20,100,0.2,gemma-3-12b-it
climate change believer,climate change skeptic,0.2,67,0,33,100,0.33,gemma-3-12b-it
climate change believer,climate change skeptic,0.08,65,0,35,100,0.35,gemma-3-12b-it
climate change believer,climate change skeptic,-0.08,71,0,29,100,0.29,gemma-3-12b-it
climate change believer,climate change skeptic,-0.2,66,1,33,100,0.33,gemma-3-12b-it
climate change believer,climate change skeptic,-0.6,40,0,60,100,0.6,gemma-3-12b-it
climate change believer,climate change skeptic,-0.8,33,0,67,100,0.67,gemma-3-12b-it
climate change believer,climate change skeptic,-0.92,9,0,91,100,0.91,gemma-3-12b-it
gun control,gun rights,0.92,97,2,1,100,0.01,gemma-3-12b-it
gun control,gun rights,0.8,92,7,1,100,0.01,gemma-3-12b-it
gun control,gun rights,0.6,85,15,0,100,0.0,gemma-3-12b-it
gun control,gun rights,0.2,34,65,1,100,0.01,gemma-3-12b-it
gun control,gun rights,0.08,17,83,0,100,0.0,gemma-3-12b-it
gun control,gun rights,-0.08,2,98,0,100,0.0,gemma-3-12b-it
gun control,gun rights,-0.2,1,99,0,100,0.0,gemma-3-12b-it
gun control,gun rights,-0.6,0,100,0,100,0.0,gemma-3-12b-it
gun control,gun rights,-0.8,0,100,0,100,0.0,gemma-3-12b-it
gun control,gun rights,-0.92,1,99,0,100,0.0,gemma-3-12b-it
open borders,closed borders,0.92,100,0,0,100,0.0,gemma-3-12b-it
open borders,closed borders,0.8,100,0,0,100,0.0,gemma-3-12b-it
open borders,closed borders,0.6,100,0,0,100,0.0,gemma-3-12b-it
open borders,closed borders,0.2,100,0,0,100,0.0,gemma-3-12b-it
open borders,closed borders,0.08,100,0,0,100,0.0,gemma-3-12b-it
open borders,closed borders,-0.08,100,0,0,100,0.0,gemma-3-12b-it
open borders,closed borders,-0.2,98,2,0,100,0.0,gemma-3-12b-it
open borders,closed borders,-0.6,59,41,0,100,0.0,gemma-3-12b-it
open borders,closed borders,-0.8,34,66,0,100,0.0,gemma-3-12b-it
open borders,closed borders,-0.92,24,75,1,100,0.01,gemma-3-12b-it
universal healthcare,private healthcare,0.92,100,0,0,100,0.0,gemma-3-12b-it
universal healthcare,private healthcare,0.8,100,0,0,100,0.0,gemma-3-12b-it
universal healthcare,private healthcare,0.6,100,0,0,100,0.0,gemma-3-12b-it
universal healthcare,private healthcare,0.2,100,0,0,100,0.0,gemma-3-12b-it
universal healthcare,private healthcare,0.08,100,0,0,100,0.0,gemma-3-12b-it
universal healthcare,private healthcare,-0.08,100,0,0,100,0.0,gemma-3-12b-it
universal healthcare,private healthcare,-0.2,94,6,0,100,0.0,gemma-3-12b-it
universal healthcare,private healthcare,-0.6,43,57,0,100,0.0,gemma-3-12b-it
universal healthcare,private healthcare,-0.8,14,86,0,100,0.0,gemma-3-12b-it
universal healthcare,private healthcare,-0.92,9,89,2,100,0.02,gemma-3-12b-it
tax the rich,lower taxes,0.92,100,0,0,100,0.0,gemma-3-12b-it
tax the rich,lower taxes,0.8,100,0,0,100,0.0,gemma-3-12b-it
tax the rich,lower taxes,0.6,100,0,0,100,0.0,gemma-3-12b-it
tax the rich,lower taxes,0.2,83,17,0,100,0.0,gemma-3-12b-it
tax the rich,lower taxes,0.08,64,36,0,100,0.0,gemma-3-12b-it
tax the rich,lower taxes,-0.08,27,73,0,100,0.0,gemma-3-12b-it
tax the rich,lower taxes,-0.2,14,86,0,100,0.0,gemma-3-12b-it
tax the rich,lower taxes,-0.6,0,100,0,100,0.0,gemma-3-12b-it
tax the rich,lower taxes,-0.8,0,100,0,100,0.0,gemma-3-12b-it
tax the rich,lower taxes,-0.92,0,100,0,100,0.0,gemma-3-12b-it
big government,small government,0.92,32,65,3,100,0.03,gemma-3-12b-it
big government,small government,0.8,40,59,1,100,0.01,gemma-3-12b-it
big government,small government,0.6,23,77,0,100,0.0,gemma-3-12b-it
big government,small government,0.2,0,100,0,100,0.0,gemma-3-12b-it
big government,small government,0.08,0,100,0,100,0.0,gemma-3-12b-it
big government,small government,-0.08,0,100,0,100,0.0,gemma-3-12b-it
big government,small government,-0.2,0,100,0,100,0.0,gemma-3-12b-it
big government,small government,-0.6,0,100,0,100,0.0,gemma-3-12b-it
big government,small government,-0.8,0,100,0,100,0.0,gemma-3-12b-it
big government,small government,-0.92,0,100,0,100,0.0,gemma-3-12b-it
affirmative action,merit-based admissions,0.92,99,1,0,100,0.0,gemma-3-12b-it
affirmative action,merit-based admissions,0.8,100,0,0,100,0.0,gemma-3-12b-it
affirmative action,merit-based admissions,0.6,94,6,0,100,0.0,gemma-3-12b-it
affirmative action,merit-based admissions,0.2,52,48,0,100,0.0,gemma-3-12b-it
affirmative action,merit-based admissions,0.08,28,72,0,100,0.0,gemma-3-12b-it
affirmative action,merit-based admissions,-0.08,22,78,0,100,0.0,gemma-3-12b-it
affirmative action,merit-based admissions,-0.2,7,93,0,100,0.0,gemma-3-12b-it
affirmative action,merit-based admissions,-0.6,0,100,0,100,0.0,gemma-3-12b-it
affirmative action,merit-based admissions,-0.8,0,100,0,100,0.0,gemma-3-12b-it
affirmative action,merit-based admissions,-0.92,0,100,0,100,0.0,gemma-3-12b-it
freedom of speech,regulated speech,0.92,100,0,0,100,0.0,gemma-3-12b-it
freedom of speech,regulated speech,0.8,100,0,0,100,0.0,gemma-3-12b-it
freedom of speech,regulated speech,0.6,100,0,0,100,0.0,gemma-3-12b-it
freedom of speech,regulated speech,0.2,100,0,0,100,0.0,gemma-3-12b-it
freedom of speech,regulated speech,0.08,100,0,0,100,0.0,gemma-3-12b-it
freedom of speech,regulated speech,-0.08,100,0,0,100,0.0,gemma-3-12b-it
freedom of speech,regulated speech,-0.2,100,0,0,100,0.0,gemma-3-12b-it
freedom of speech,regulated speech,-0.6,52,48,0,100,0.0,gemma-3-12b-it
freedom of speech,regulated speech,-0.8,23,77,0,100,0.0,gemma-3-12b-it
freedom of speech,regulated speech,-0.92,12,88,0,100,0.0,gemma-3-12b-it
reparations for slavery,no reparations,0.92,100,0,0,100,0.0,gemma-3-12b-it
reparations for slavery,no reparations,0.8,100,0,0,100,0.0,gemma-3-12b-it
reparations for slavery,no reparations,0.6,100,0,0,100,0.0,gemma-3-12b-it
reparations for slavery,no reparations,0.2,100,0,0,100,0.0,gemma-3-12b-it
